epoch,train_loss,val_loss,val_mae,val_r2,val_within_5,val_pred_std,val_clin_acc,lr,val_cls_acc,val_cls_loss
1,269.626141,277.074931,54.3638,-30.174963,0.0030,0.1763,0.0536,2.00e-04,0.1071,2.489963
2,133.462267,25.333219,6.5539,0.009035,0.5179,1.8407,0.7321,4.00e-04,0.1071,1.608436
3,55.471281,36.069537,8.5824,-0.139588,0.3155,3.1631,0.5327,6.00e-04,0.0536,1.719791
4,48.123108,44.452946,10.1137,-0.509646,0.2768,6.7978,0.3988,8.00e-04,0.1071,1.756573
5,44.422392,33.882232,8.1470,-0.030227,0.3452,7.7101,0.5417,1.00e-03,0.1399,1.451003
6,40.197289,27.179880,7.2070,0.140677,0.4524,8.4502,0.5744,1.00e-03,0.1756,1.462691
7,37.483758,25.049553,6.6063,0.256515,0.4792,8.1748,0.6220,9.99e-04,0.1756,1.359232
8,37.055039,25.739868,6.7231,0.241388,0.4494,8.7863,0.6012,9.98e-04,0.1637,1.465910
9,36.598180,27.799386,7.0831,0.160658,0.4345,8.9926,0.6429,9.96e-04,0.1756,1.576443
10,33.165994,29.703869,7.6439,0.033021,0.4315,9.6301,0.5417,9.93e-04,0.1696,1.498397
11,31.872664,28.795691,7.3407,0.123500,0.3929,9.9528,0.5685,9.90e-04,0.1518,1.856087
12,32.679016,25.784170,6.7796,0.211642,0.4554,9.3922,0.6071,9.87e-04,0.1875,1.525731
13,35.598148,26.576701,6.8524,0.178616,0.4821,9.3310,0.5804,9.83e-04,0.1726,1.447645
14,30.132806,29.500783,7.4255,0.080598,0.4107,10.2412,0.5714,9.78e-04,0.1577,1.583573
15,30.922427,26.275381,6.8124,0.215963,0.4435,9.4096,0.6369,9.73e-04,0.1786,1.495577
16,27.227059,44.852684,10.3099,-0.619355,0.2857,9.6450,0.4375,9.67e-04,0.1845,1.452186
17,28.227878,24.364772,6.4298,0.295012,0.4881,8.7718,0.6696,9.61e-04,0.1726,1.478236
18,28.252136,31.124842,7.8012,-0.009289,0.4107,10.3671,0.6101,9.55e-04,0.1607,1.530169
19,28.515570,26.308112,6.8835,0.201119,0.4286,10.0987,0.6220,9.47e-04,0.1786,1.445274
20,28.328312,29.634370,7.5786,0.061081,0.3929,10.1228,0.5506,9.40e-04,0.1786,1.408286
21,26.295926,25.635784,6.6780,0.236475,0.4673,9.5923,0.6429,9.32e-04,0.1726,1.452262
22,25.783405,27.140218,7.0606,0.165897,0.4435,9.7541,0.6250,9.23e-04,0.1667,1.371506
23,27.028801,35.356478,8.8550,-0.243549,0.3393,9.3812,0.4583,9.14e-04,0.1607,1.426796
24,27.607041,29.231549,7.5550,0.048161,0.4196,9.7626,0.5327,9.05e-04,0.1667,1.413389
25,25.041032,27.165457,6.9383,0.168001,0.4464,10.1592,0.6161,8.95e-04,0.1756,1.464804
26,23.785828,25.216612,6.6409,0.252844,0.4583,8.8126,0.6607,8.84e-04,0.1548,1.345027
27,25.314166,27.350998,6.9264,0.190536,0.4643,8.9967,0.6577,8.73e-04,0.1696,1.497236
28,24.297417,22.932666,6.1433,0.315280,0.4970,8.4904,0.6786,8.62e-04,0.1458,1.345737
29,24.191689,27.321534,7.0347,0.139300,0.4345,10.4678,0.5952,8.51e-04,0.1637,1.480151
30,27.220071,28.913225,7.4846,0.060457,0.4167,9.9305,0.5357,8.39e-04,0.1607,1.444693
31,23.994853,28.648142,7.2774,0.128697,0.4107,8.8009,0.6339,8.26e-04,0.1607,1.347348
32,24.488605,25.754690,6.7839,0.189810,0.4613,8.9449,0.6131,8.14e-04,0.1607,1.483556
33,24.934134,26.918040,6.9771,0.165157,0.4435,10.3043,0.6012,8.01e-04,0.1667,1.523949
34,22.942027,25.599379,6.6930,0.232466,0.4851,9.6515,0.6369,7.87e-04,0.1726,1.442035
35,22.586292,27.085629,7.0503,0.132819,0.4583,10.1839,0.5923,7.73e-04,0.1607,1.487640
36,22.987736,36.156094,8.9107,-0.307643,0.3512,9.4264,0.4345,7.59e-04,0.1607,1.424155
37,24.621965,28.573456,7.2061,0.148117,0.4226,8.8985,0.6369,7.45e-04,0.1637,1.384717
38,21.877277,24.129890,6.4329,0.268845,0.4940,9.1596,0.6577,7.31e-04,0.1548,1.364940
39,23.467860,28.917326,7.2896,0.094980,0.4345,10.0300,0.6250,7.16e-04,0.1696,1.716040
40,21.846926,24.587619,6.5489,0.242999,0.4792,9.1934,0.6399,7.01e-04,0.1577,1.435543
41,23.769437,30.456927,7.7051,-0.024796,0.3839,9.7858,0.5298,6.86e-04,0.1607,1.532192
42,22.115080,24.398069,6.4371,0.283152,0.4821,9.3143,0.6905,6.70e-04,0.1667,1.444226
43,21.682956,26.321683,6.7854,0.212240,0.4643,9.4968,0.6667,6.55e-04,0.1607,1.413988
